,ilce_adi,Riskli Yapı_Evet,Riskli Yapı_Hayır,Riskli Yapı_Bilmiyorum,Kentsel Dönüşüm İhtiyaç_Evet,Kentsel Dönüşüm İhtiyaç_Hayır,mahalle_koy_uavt,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma
0, ADALAR,28,295,36,40,319,200705,413,743,1894,1842,76,61,217,378,3,5,8,3115
1, ARNAVUTKÖY,96,603,84,100,683,2930883,41,243,1704,4950,0,0,34,179,7,9,17,5815
2, ATAŞEHİR,384,910,102,457,939,984636,123,471,2756,6833,89,47,330,755,6,7,18,14702
3, AVCILAR,111,971,307,240,1148,401495,233,1261,5545,9285,465,239,1385,2799,19,22,54,34941
4, BAĞCILAR,508,1176,350,607,1427,883641,796,1825,8001,15397,1179,652,3148,5869,16,20,52,59513
5, BAHÇELİEVLER,470,1081,284,536,1299,442002,796,1490,5668,9686,1633,879,4261,7599,17,21,52,61199
6, BAKIRKÖY,227,463,114,263,527,602925,782,1306,3394,3939,1046,581,2701,4610,15,17,48,28910
7, BAŞAKŞEHİR,103,1001,57,59,1102,557619,115,575,2977,6243,71,45,287,670,6,9,20,13397
8, BAYRAMPAŞA,170,556,129,190,634,442288,614,1182,4059,7415,520,340,1394,2529,5,8,19,23064
9, BEŞİKTAŞ,118,503,140,158,600,925175,64,187,1053,3241,26,14,99,240,2,2,6,4096
10, BEYKOZ,180,505,102,235,552,4665540,113,443,2756,7356,25,16,112,284,6,6,13,5937
11, BEYLİKDÜZÜ,56,898,170,96,1028,408768,321,950,3004,4331,527,276,1456,2655,21,32,72,26670
12, BEYOĞLU,116,430,253,211,584,1812780,410,841,3132,7158,217,150,609,1141,3,5,12,10295
13, BÜYÜKÇEKMECE,53,641,130,96,728,1238495,439,1635,6622,9367,288,154,885,1754,26,33,54,24298
14, ÇATALCA,12,301,28,19,322,5669640,63,301,1656,4053,4,2,25,67,4,7,13,1933
15, ÇEKMEKÖY,99,448,45,136,456,1460888,16,113,998,3392,1,0,18,109,3,4,7,3922
16, ESENLER,485,568,223,541,705,645560,391,813,3739,8302,638,352,1687,3133,6,7,20,29747
17, ESENYURT,160,2133,403,217,2479,4991823,563,1768,7911,14672,1003,543,2789,5441,24,28,63,67410
18, EYÜPSULTAN,251,914,128,269,994,2189959,300,841,3794,8237,168,110,525,1080,6,9,20,16067
19, FATİH,292,481,648,445,973,3474985,2083,3496,9949,15758,1484,985,3897,6767,11,18,43,46784
20, GAZİOSMANPAŞA,317,942,227,370,1104,647304,129,403,2276,6969,140,83,418,898,3,4,10,13963
21, GÜNGÖREN,337,368,169,387,479,445511,342,611,2407,4597,754,415,1965,3496,7,9,24,27478
22, KADIKÖY,201,1094,124,256,1163,850861,208,505,2426,6717,190,93,592,1135,6,7,19,13585
23, KAĞITHANE,340,821,273,400,999,770336,94,275,1727,5816,84,44,275,601,3,4,10,9908
24, KARTAL,210,1083,232,279,1246,811270,199,593,3282,8173,176,87,553,1148,7,8,22,18189
25, KÜÇÜKÇEKMECE,477,1690,341,563,1945,852510,1240,2616,8978,13799,1515,925,4079,7413,21,25,63,72774
26, MALTEPE,293,1175,180,372,1276,731097,237,690,3388,8156,234,130,706,1438,8,10,22,20102
27, PENDİK,378,1520,325,484,1739,2218666,274,1041,5625,13449,195,101,707,1566,13,16,35,28281
28, SANCAKTEPE,123,1060,63,123,1123,982690,84,416,2539,6733,48,24,216,574,6,8,19,12967
29, SARIYER,185,828,163,269,908,2754359,102,365,2486,6977,33,21,141,341,5,6,11,6616
30, SİLİVRİ,41,482,81,65,539,2694164,444,1707,7155,11997,58,27,246,566,21,29,36,13481
31, SULTANBEYLİ,101,574,193,179,689,614235,109,648,3949,8225,73,38,300,756,7,9,22,16635
32, SULTANGAZİ,207,1028,177,241,1138,606856,61,245,1804,6884,57,27,217,556,3,4,11,10524
33, ŞİLE,19,324,30,26,347,10618775,22,106,774,2402,0,0,0,1,3,5,6,876
34, ŞİŞLİ,179,614,320,305,807,1017468,68,207,1008,4333,55,27,172,368,2,2,5,4845
35, TUZLA,129,603,109,161,680,692296,446,1370,5310,8239,268,169,808,1565,14,19,48,21417
36, ÜMRANİYE,471,1403,290,573,1591,2758922,105,534,3626,10656,42,17,250,704,7,10,23,16345
37, ÜSKÜDAR,439,1164,143,529,1217,1751572,146,493,3341,9610,95,42,365,849,6,6,15,15087
38, ZEYTİNBURNU,244,394,178,284,524,530881,510,1025,3799,6335,668,374,1767,3206,8,11,30,31030
